"","centroid_coord_X","centroid_coord_Y","row_id","ew_group","ec_mean"
"1",-100.825829933698,38.0234724495464,1,1,38.0487310311109
"2",-100.825552219939,38.0234724492387,1,2,38.0429233547815
"3",-100.825274507045,38.0234724505329,1,3,37.044839399435
"4",-100.82499679561,38.0234724516555,1,4,40.3551353278526
"5",-100.825823441045,38.02260750528,2,1,35.5998048738943
"6",-100.825545732595,38.0226075057546,2,2,43.8088109058564
"7",-100.825268021309,38.0226075056752,2,3,36.9762631523508
"8",-100.824990313057,38.0226075071246,2,4,46.9869724748154
"9",-100.825824369057,38.0227310579502,3,1,34.1059553123609
"10",-100.825546658215,38.0227310585555,3,2,41.3254110936691
"11",-100.825268948298,38.0227310599257,3,3,34.7804116975676
"12",-100.824991238345,38.0227310610053,3,4,43.6744772373547
"13",-100.825825296861,38.0228546301194,4,1,36.7837024865097
"14",-100.825547584259,38.0228546299621,4,2,38.6984577746321
"15",-100.825269874859,38.0228546308357,4,3,39.8049997959828
"16",-100.824992163682,38.022854631394,4,4,40.2586986595275
"17",-100.825826224252,38.0229782003991,5,1,41.487591872152
"18",-100.825548510625,38.0229782012098,5,2,38.2467479517115
"19",-100.825270801602,38.0229782023419,5,3,58.1866688943434
"20",-100.824993090487,38.0229782031791,5,4,38.0883861297677
"21",-100.825827150148,38.0231017538529,6,1,45.384903302806
"22",-100.825549439231,38.0231017547726,6,2,40.6112968353502
"23",-100.825271726104,38.0231017563793,6,3,57.3189506148499
"24",-100.824994016196,38.023101757101,6,4,41.527789123252
"25",-100.825828078227,38.0232253088987,7,1,40.1647768727392
"26",-100.825550367657,38.0232253093902,7,2,39.9012539772976
"27",-100.825272653801,38.0232253096136,7,3,42.7312723330727
"28",-100.824994942316,38.023225311317,7,4,40.6530168485807
"29",-100.825829004462,38.0233488776036,8,1,37.2944569930156
"30",-100.825551293858,38.0233488794554,8,2,37.3962680242882
"31",-100.825273581005,38.0233488815273,8,3,37.5650833012688
"32",-100.824995868277,38.023348881313,8,4,40.0025708706362
"33",-100.825830839723,38.0235932549841,9,1,36.4924876844747
"34",-100.825553127614,38.0235932548781,9,2,42.3021023101853
"35",-100.825275411175,38.0235932564685,9,3,35.536338555446
"36",-100.824997701684,38.023593257844,9,4,38.833679423392
"37",-100.825831748298,38.023714058748,10,1,28.1401343314898
"38",-100.825554031709,38.0237140595186,10,2,42.5839414712876
"39",-100.82527632039,38.0237140606292,10,3,26.8171439949188
"40",-100.824998606269,38.0237140612056,10,4,39.1235169377837
"41",-100.825832673714,38.0238376124528,11,1,28.2086042071049
"42",-100.825554959834,38.0238376140622,11,2,37.9989223017093
"43",-100.825277245672,38.0238376152142,11,3,36.5131742145688
"44",-100.82499953108,38.0238376152948,11,4,40.6578446198986
"45",-100.825833581172,38.0239584395994,12,1,30.2730241842195
"46",-100.825555866411,38.0239584417372,12,2,27.4756439223808
"47",-100.825278152902,38.0239584425313,12,3,34.0893233744593
"48",-100.825000436267,38.0239584424154,12,4,30.2104086241314
"49",-100.825834486165,38.0240792691799,13,1,23.563366946589
"50",-100.825556771292,38.02407927033,13,2,24.8233468279124
"51",-100.82527905779,38.0240792708265,13,3,24.2374607158538
"52",-100.82500134334,38.0240792718704,13,4,25.3701350458375
"53",-100.825835415775,38.0242028223162,14,1,28.1325709274359
"54",-100.825557698654,38.0242028220443,14,2,23.5142421720033
"55",-100.82527998413,38.0242028229825,14,3,22.2561395296435
"56",-100.825002268778,38.024202824415,14,4,28.5493832908757
"57",-100.825836342146,38.0243263926135,15,1,23.5011250402644
"58",-100.825558627032,38.0243263937165,15,2,19.6962566325487
"59",-100.825280910403,38.0243263955837,15,3,19.6642881735895
"60",-100.825003193301,38.0243263959709,15,4,26.4068024650743
"61",-100.825837268906,38.0244499636554,16,1,22.6100890255924
"62",-100.825559554678,38.0244499649618,16,2,25.8078594842647
"63",-100.825281835907,38.0244499652371,16,3,23.155894016605
"64",-100.825004120372,38.0244499653511,16,4,36.3063538048906
"65",-100.825838196729,38.0245735168176,17,1,24.3509976341119
"66",-100.825560480348,38.0245735164097,17,2,28.5007918450765
"67",-100.825282764279,38.0245735179504,17,3,25.9064523893858
"68",-100.825005046153,38.0245735198704,17,4,38.9389734155733
"69",-100.825839123882,38.0246970700412,18,1,31.3440623652826
"70",-100.825561407588,38.0246970724083,18,2,28.6415927385934
"71",-100.825283690379,38.0246970711754,18,3,23.1767373922818
"72",-100.825005971676,38.0246970728137,18,4,33.0845197667751
"73",-100.825840053932,38.0248206410715,19,1,31.6916814107801
"74",-100.825562333562,38.024820641353,19,2,28.9731675780946
"75",-100.825284614793,38.024820643239,19,3,24.9879544787019
"76",-100.825006898219,38.0248206437054,19,4,30.5687322446903
"77",-100.825840980349,38.0249442115087,20,1,27.8739414217517
"78",-100.825563262019,38.0249442118452,20,2,33.6228848836865
"79",-100.825285541399,38.0249442124067,20,3,34.9288965714323
"80",-100.825007825271,38.0249442140831,20,4,35.8660453230943
"81",-100.825841904871,38.0250677666868,21,1,29.4965587899751
"82",-100.825564188283,38.0250677666075,21,2,32.6650151875347
"83",-100.825286468874,38.0250677690419,21,3,32.8087114323567
"84",-100.825008750498,38.0250677688004,21,4,33.0127619713834
"85",-100.825842835509,38.0251913184652,22,1,28.8667565084695
"86",-100.825565114423,38.0251913203257,22,2,34.5391057967654
"87",-100.82528739529,38.0251913205427,22,3,34.4800895357355
"88",-100.825009675745,38.0251913216335,22,4,32.7146946650513
"89",-100.825843761259,38.0253148546847,23,1,34.777415550455
"90",-100.82556604135,38.0253148566336,23,2,35.3851983433869
"91",-100.825288321789,38.0253148565541,23,3,35.1486180504271
"92",-100.825010602576,38.0253148591614,23,4,37.7730180196874
